district,population,placename,category,total19,total20,total21,total22,ytd22,ytd23,last12mos,type,geometry,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
Citywide,285527,NA,Murder,38,37,50,45,38,43,50,Violent,list(),132,44,18.4,31.6,0,14,13.3,13,17.5,15.8,17.5,15.4
Citywide,285527,NA,Sexual Assault,107,116,122,135,120,136,151,Violent,list(),373,124.3,26.2,41.1,23.8,21,37.5,40.6,42.7,47.3,52.9,43.5
Citywide,285527,NA,Robbery,611,612,531,574,515,420,479,Violent,list(),1717,572.3,-6.1,-21.6,-9.8,-16,214,214.3,186,201,167.8,200.4
Citywide,285527,NA,Aggravated Assault,1251,1639,1436,1171,1021,1013,1163,Violent,list(),4246,1415.3,-6.4,-7,-19,-18,438.1,574,502.9,410.1,407.3,495.7
Citywide,285527,NA,Burglary,1851,1816,1444,1263,1072,1200,1391,Property,list(),4523,1507.7,-31.8,-24.9,-3.7,-8,648.3,636,505.7,442.3,487.2,528
Citywide,285527,NA,Theft,7838,7688,7357,7049,6172,6637,7514,Property,list(),22094,7364.7,-10.1,-4.1,2.1,2,2745.1,2692.6,2576.6,2468.8,2631.6,2579.3
Citywide,285527,NA,Vehicle Theft,677,878,686,803,672,1613,1744,Property,list(),2367,789,18.6,157.6,154.2,121,237.1,307.5,240.3,281.2,610.8,276.3
