district,population,placename,category,total19,total20,total21,total22,ytd22,ytd23,last12mos,type,geometry,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
Citywide,285527,NA,Murder,38,37,50,45,23,29,51,Violent,list(),132,44,18.4,34.2,2,16,13.3,13,17.5,15.8,17.9,15.4
Citywide,285527,NA,Sexual Assault,107,116,122,135,81,95,149,Violent,list(),373,124.3,26.2,39.3,22.1,20,37.5,40.6,42.7,47.3,52.2,43.5
Citywide,285527,NA,Robbery,611,612,531,574,356,295,513,Violent,list(),1717,572.3,-6.1,-16,-3.4,-10,214,214.3,186,201,179.7,200.4
Citywide,285527,NA,Aggravated Assault,1251,1639,1436,1171,702,737,1206,Violent,list(),4246,1415.3,-6.4,-3.6,-16,-15,438.1,574,502.9,410.1,422.4,495.7
Citywide,285527,NA,Burglary,1851,1816,1444,1263,689,803,1377,Property,list(),4523,1507.7,-31.8,-25.6,-4.6,-9,648.3,636,505.7,442.3,482.3,528
Citywide,285527,NA,Theft,7838,7688,7357,7049,4049,4453,7453,Property,list(),22094,7364.7,-10.1,-4.9,1.3,1,2745.1,2692.6,2576.6,2468.8,2610.3,2579.3
Citywide,285527,NA,Vehicle Theft,677,878,686,803,416,1132,1519,Property,list(),2367,789,18.6,124.4,121.4,93,237.1,307.5,240.3,281.2,532,276.3
