district,population,placename,category,total19,total20,total21,total22,ytd22,ytd23,last12mos,type,geometry,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
Citywide,285527,NA,Murder,38,37,50,45,16,17,46,Violent,list(),132,44,18.4,21.1,-8,5,13.3,13,17.5,15.8,16.1,15.4
Citywide,285527,NA,Sexual Assault,107,116,122,135,41,60,154,Violent,list(),373,124.3,26.2,43.9,26.2,24,37.5,40.6,42.7,47.3,53.9,43.5
Citywide,285527,NA,Robbery,611,612,531,574,196,136,514,Violent,list(),1717,572.3,-6.1,-15.9,-3.2,-10,214,214.3,186,201,180,200.4
Citywide,285527,NA,Aggravated Assault,1251,1639,1436,1171,354,341,1158,Violent,list(),4246,1415.3,-6.4,-7.4,-19.4,-18,438.1,574,502.9,410.1,405.6,495.7
Citywide,285527,NA,Burglary,1851,1816,1444,1263,337,370,1296,Property,list(),4523,1507.7,-31.8,-30,-10.2,-14,648.3,636,505.7,442.3,453.9,528
Citywide,285527,NA,Theft,7838,7688,7357,7049,2009,2061,7101,Property,list(),22094,7364.7,-10.1,-9.4,-3.5,-4,2745.1,2692.6,2576.6,2468.8,2487,2579.3
Citywide,285527,NA,Vehicle Theft,677,878,686,803,224,412,991,Property,list(),2367,789,18.6,46.4,44.5,26,237.1,307.5,240.3,281.2,347.1,276.3
