district,population,placename,category,total19,total20,total21,total22,ytd22,ytd23,last12mos,type,geometry,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
Citywide,285527,NA,Murder,38,37,50,45,40,45,50,Violent,list(),132,44,18.4,31.6,0,14,13.3,13,17.5,15.8,17.5,15.4
Citywide,285527,NA,Sexual Assault,107,116,122,135,123,143,155,Violent,list(),373,124.3,26.2,44.9,27,25,37.5,40.6,42.7,47.3,54.3,43.5
Citywide,285527,NA,Robbery,611,612,531,574,530,435,479,Violent,list(),1717,572.3,-6.1,-21.6,-9.8,-16,214,214.3,186,201,167.8,200.4
Citywide,285527,NA,Aggravated Assault,1251,1639,1436,1171,1052,1055,1174,Violent,list(),4246,1415.3,-6.4,-6.2,-18.2,-17,438.1,574,502.9,410.1,411.2,495.7
Citywide,285527,NA,Burglary,1851,1816,1444,1263,1129,1241,1375,Property,list(),4523,1507.7,-31.8,-25.7,-4.8,-9,648.3,636,505.7,442.3,481.6,528
Citywide,285527,NA,Theft,7838,7688,7357,7049,6391,6883,7541,Property,list(),22094,7364.7,-10.1,-3.8,2.5,2,2745.1,2692.6,2576.6,2468.8,2641.1,2579.3
Citywide,285527,NA,Vehicle Theft,677,878,686,803,708,1704,1799,Property,list(),2367,789,18.6,165.7,162.2,128,237.1,307.5,240.3,281.2,630.1,276.3
