district,population,placename,category,total19,total20,total21,total22,ytd22,ytd23,last12mos,type,geometry,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
Citywide,285527,NA,Murder,38,37,50,45,16,18,47,Violent,list(),132,44,18.4,23.7,-6,7,13.3,13,17.5,15.8,16.5,15.4
Citywide,285527,NA,Sexual Assault,107,116,122,135,47,69,157,Violent,list(),373,124.3,26.2,46.7,28.7,26,37.5,40.6,42.7,47.3,55,43.5
Citywide,285527,NA,Robbery,611,612,531,574,226,174,522,Violent,list(),1717,572.3,-6.1,-14.6,-1.7,-9,214,214.3,186,201,182.8,200.4
Citywide,285527,NA,Aggravated Assault,1251,1639,1436,1171,390,415,1196,Violent,list(),4246,1415.3,-6.4,-4.4,-16.7,-15,438.1,574,502.9,410.1,418.9,495.7
Citywide,285527,NA,Burglary,1851,1816,1444,1263,396,459,1326,Property,list(),4523,1507.7,-31.8,-28.4,-8.2,-12,648.3,636,505.7,442.3,464.4,528
Citywide,285527,NA,Theft,7838,7688,7357,7049,2371,2430,7108,Property,list(),22094,7364.7,-10.1,-9.3,-3.4,-3,2745.1,2692.6,2576.6,2468.8,2489.4,2579.3
Citywide,285527,NA,Vehicle Theft,677,878,686,803,250,535,1088,Property,list(),2367,789,18.6,60.7,58.6,38,237.1,307.5,240.3,281.2,381,276.3
