district,population,placename,category,total19,total20,total21,total22,ytd22,ytd23,last12mos,type,geometry,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
Citywide,285527,NA,Murder,38,37,50,45,25,30,50,Violent,list(),132,44,18.4,31.6,0,14,13.3,13,17.5,15.8,17.5,15.4
Citywide,285527,NA,Sexual Assault,107,116,122,135,91,108,152,Violent,list(),373,124.3,26.2,42.1,24.6,22,37.5,40.6,42.7,47.3,53.2,43.5
Citywide,285527,NA,Robbery,611,612,531,574,390,325,509,Violent,list(),1717,572.3,-6.1,-16.7,-4.1,-11,214,214.3,186,201,178.3,200.4
Citywide,285527,NA,Aggravated Assault,1251,1639,1436,1171,757,794,1208,Violent,list(),4246,1415.3,-6.4,-3.4,-15.9,-15,438.1,574,502.9,410.1,423.1,495.7
Citywide,285527,NA,Burglary,1851,1816,1444,1263,774,907,1396,Property,list(),4523,1507.7,-31.8,-24.6,-3.3,-7,648.3,636,505.7,442.3,488.9,528
Citywide,285527,NA,Theft,7838,7688,7357,7049,4570,4976,7455,Property,list(),22094,7364.7,-10.1,-4.9,1.3,1,2745.1,2692.6,2576.6,2468.8,2611,2579.3
Citywide,285527,NA,Vehicle Theft,677,878,686,803,488,1271,1586,Property,list(),2367,789,18.6,134.3,131.2,101,237.1,307.5,240.3,281.2,555.5,276.3
