district,population,placename,category,total19,total20,total21,total22,ytd22,ytd23,last12mos,type,geometry,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
Citywide,285527,NA,Murder,38,37,50,45,41,49,53,Violent,list(),132,44,18.4,39.5,6,20,13.3,13,17.5,15.8,18.6,15.4
Citywide,285527,NA,Sexual Assault,107,116,122,135,129,149,155,Violent,list(),373,124.3,26.2,44.9,27,25,37.5,40.6,42.7,47.3,54.3,43.5
Citywide,285527,NA,Robbery,611,612,531,574,547,454,481,Violent,list(),1717,572.3,-6.1,-21.3,-9.4,-16,214,214.3,186,201,168.5,200.4
Citywide,285527,NA,Aggravated Assault,1251,1639,1436,1171,1093,1097,1175,Violent,list(),4246,1415.3,-6.4,-6.1,-18.2,-17,438.1,574,502.9,410.1,411.5,495.7
Citywide,285527,NA,Burglary,1851,1816,1444,1263,1183,1280,1360,Property,list(),4523,1507.7,-31.8,-26.5,-5.8,-10,648.3,636,505.7,442.3,476.3,528
Citywide,285527,NA,Theft,7838,7688,7357,7049,6650,7169,7568,Property,list(),22094,7364.7,-10.1,-3.4,2.9,3,2745.1,2692.6,2576.6,2468.8,2650.5,2579.3
Citywide,285527,NA,Vehicle Theft,677,878,686,803,736,1780,1847,Property,list(),2367,789,18.6,172.8,169.2,134,237.1,307.5,240.3,281.2,646.9,276.3
