district,population,placename,category,total19,total20,total21,total22,ytd22,ytd23,last12mos,type,geometry,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
Citywide,285527,NA,Murder,38,37,50,45,23,29,51,Violent,list(),132,44,18.4,34.2,2,16,13.3,13,17.5,15.8,17.9,15.4
Citywide,285527,NA,Sexual Assault,107,116,122,135,86,98,147,Violent,list(),373,124.3,26.2,37.4,20.5,18,37.5,40.6,42.7,47.3,51.5,43.5
Citywide,285527,NA,Robbery,611,612,531,574,373,308,509,Violent,list(),1717,572.3,-6.1,-16.7,-4.1,-11,214,214.3,186,201,178.3,200.4
Citywide,285527,NA,Aggravated Assault,1251,1639,1436,1171,721,761,1211,Violent,list(),4246,1415.3,-6.4,-3.2,-15.7,-14,438.1,574,502.9,410.1,424.1,495.7
Citywide,285527,NA,Burglary,1851,1816,1444,1263,720,831,1374,Property,list(),4523,1507.7,-31.8,-25.8,-4.8,-9,648.3,636,505.7,442.3,481.2,528
Citywide,285527,NA,Theft,7838,7688,7357,7049,4209,4633,7473,Property,list(),22094,7364.7,-10.1,-4.7,1.6,1,2745.1,2692.6,2576.6,2468.8,2617.3,2579.3
Citywide,285527,NA,Vehicle Theft,677,878,686,803,440,1177,1540,Property,list(),2367,789,18.6,127.5,124.5,95,237.1,307.5,240.3,281.2,539.4,276.3
