district,population,placename,category,total19,total20,total21,ytd22,last12mos,type,geometry,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
Citywide,285527,NA,Murder,38,50,45,4,47,Violent,list(),133,44.3,18.4,23.7,4.4,6,13.3,17.5,15.8,16.5,15.5
Citywide,285527,NA,Sexual Assault,107,122,135,19,139,Violent,list(),364,121.3,26.2,29.9,3,15,37.5,42.7,47.3,48.7,42.5
Citywide,285527,NA,Robbery,611,531,574,48,549,Violent,list(),1716,572,-6.1,-10.1,-4.4,-4,214,186,201,192.3,200.3
Citywide,285527,NA,Aggravated Assault,1251,1436,1171,126,1176,Violent,list(),3858,1286,-6.4,-6,0.4,-9,438.1,502.9,410.1,411.9,450.4
Citywide,285527,NA,Burglary,1851,1444,1263,142,1300,Property,list(),4558,1519.3,-31.8,-29.8,2.9,-14,648.3,505.7,442.3,455.3,532.1
Citywide,285527,NA,Theft,7838,7357,7049,652,7074,Property,list(),22244,7414.7,-10.1,-9.7,0.4,-5,2745.1,2576.6,2468.8,2477.5,2596.8
Citywide,285527,NA,Vehicle Theft,677,686,803,99,839,Property,list(),2166,722,18.6,23.9,4.5,16,237.1,240.3,281.2,293.8,252.9
