district,population,placename,category,total19,total20,total21,total22,ytd22,ytd23,last12mos,type,geometry,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
Citywide,285527,NA,Murder,38,37,50,45,5,9,49,Violent,list(),132,44,18.4,28.9,-2,11,13.3,13,17.5,15.8,17.2,15.4
Citywide,285527,NA,Sexual Assault,107,116,122,135,29,34,140,Violent,list(),373,124.3,26.2,30.8,14.8,13,37.5,40.6,42.7,47.3,49,43.5
Citywide,285527,NA,Robbery,611,612,531,574,125,72,521,Violent,list(),1717,572.3,-6.1,-14.7,-1.9,-9,214,214.3,186,201,182.5,200.4
Citywide,285527,NA,Aggravated Assault,1251,1639,1436,1171,204,199,1166,Violent,list(),4246,1415.3,-6.4,-6.8,-18.8,-18,438.1,574,502.9,410.1,408.4,495.7
Citywide,285527,NA,Burglary,1851,1816,1444,1263,181,227,1309,Property,list(),4523,1507.7,-31.8,-29.3,-9.3,-13,648.3,636,505.7,442.3,458.5,528
Citywide,285527,NA,Theft,7838,7688,7357,7049,1126,1190,7113,Property,list(),22094,7364.7,-10.1,-9.2,-3.3,-3,2745.1,2692.6,2576.6,2468.8,2491.2,2579.3
Citywide,285527,NA,Vehicle Theft,677,878,686,803,130,183,856,Property,list(),2367,789,18.6,26.4,24.8,8,237.1,307.5,240.3,281.2,299.8,276.3
