district,population,placename,category,total19,total20,total21,ytd22,last12mos,type,geometry,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
Citywide,285527,NA,Murder,38,50,45,8,48,Violent,list(),133,44.3,18.4,26.3,6.7,8,13.3,17.5,15.8,16.8,15.5
Citywide,285527,NA,Sexual Assault,107,122,135,31,141,Violent,list(),364,121.3,26.2,31.8,4.4,16,37.5,42.7,47.3,49.4,42.5
Citywide,285527,NA,Robbery,611,531,574,63,522,Violent,list(),1716,572,-6.1,-14.6,-9.1,-9,214,186,201,182.8,200.3
Citywide,285527,NA,Aggravated Assault,1251,1436,1171,185,1176,Violent,list(),3858,1286,-6.4,-6,0.4,-9,438.1,502.9,410.1,411.9,450.4
Citywide,285527,NA,Burglary,1851,1444,1263,206,1304,Property,list(),4558,1519.3,-31.8,-29.6,3.2,-14,648.3,505.7,442.3,456.7,532.1
Citywide,285527,NA,Theft,7838,7357,7049,1047,7104,Property,list(),22244,7414.7,-10.1,-9.4,0.8,-4,2745.1,2576.6,2468.8,2488,2596.8
Citywide,285527,NA,Vehicle Theft,677,686,803,161,851,Property,list(),2166,722,18.6,25.7,6,18,237.1,240.3,281.2,298,252.9
