district,population,placename,category,total19,total20,total21,total22,ytd22,ytd23,last12mos,type,geometry,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
Citywide,285527,NA,Murder,38,37,50,45,45,49,49,Violent,list(),132,44,18.4,28.9,-2,11,13.3,13,17.5,15.8,17.2,15.4
Citywide,285527,NA,Sexual Assault,107,116,122,135,139,160,156,Violent,list(),373,124.3,26.2,45.8,27.9,26,37.5,40.6,42.7,47.3,54.6,43.5
Citywide,285527,NA,Robbery,611,612,531,574,568,482,488,Violent,list(),1717,572.3,-6.1,-20.1,-8.1,-15,214,214.3,186,201,170.9,200.4
Citywide,285527,NA,Aggravated Assault,1251,1639,1436,1171,1155,1155,1171,Violent,list(),4246,1415.3,-6.4,-6.4,-18.5,-17,438.1,574,502.9,410.1,410.1,495.7
Citywide,285527,NA,Burglary,1851,1816,1444,1263,1252,1353,1364,Property,list(),4523,1507.7,-31.8,-26.3,-5.5,-10,648.3,636,505.7,442.3,477.7,528
Citywide,285527,NA,Theft,7838,7688,7357,7049,7024,7568,7593,Property,list(),22094,7364.7,-10.1,-3.1,3.2,3,2745.1,2692.6,2576.6,2468.8,2659.3,2579.3
Citywide,285527,NA,Vehicle Theft,677,878,686,803,800,1875,1878,Property,list(),2367,789,18.6,177.4,173.8,138,237.1,307.5,240.3,281.2,657.7,276.3
