district,population,placename,category,total19,total20,total21,total22,ytd22,ytd23,last12mos,type,geometry,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
Citywide,285527,NA,Murder,38,37,50,45,6,11,50,Violent,list(),132,44,18.4,31.6,0,14,13.3,13,17.5,15.8,17.5,15.4
Citywide,285527,NA,Sexual Assault,107,116,122,135,30,42,147,Violent,list(),373,124.3,26.2,37.4,20.5,18,37.5,40.6,42.7,47.3,51.5,43.5
Citywide,285527,NA,Robbery,611,612,531,574,146,90,518,Violent,list(),1717,572.3,-6.1,-15.2,-2.4,-9,214,214.3,186,201,181.4,200.4
Citywide,285527,NA,Aggravated Assault,1251,1639,1436,1171,240,240,1171,Violent,list(),4246,1415.3,-6.4,-6.4,-18.5,-17,438.1,574,502.9,410.1,410.1,495.7
Citywide,285527,NA,Burglary,1851,1816,1444,1263,230,275,1308,Property,list(),4523,1507.7,-31.8,-29.3,-9.4,-13,648.3,636,505.7,442.3,458.1,528
Citywide,285527,NA,Theft,7838,7688,7357,7049,1386,1431,7094,Property,list(),22094,7364.7,-10.1,-9.5,-3.6,-4,2745.1,2692.6,2576.6,2468.8,2484.5,2579.3
Citywide,285527,NA,Vehicle Theft,677,878,686,803,161,236,878,Property,list(),2367,789,18.6,29.7,28,11,237.1,307.5,240.3,281.2,307.5,276.3
