district,population,placename,category,total19,total20,total21,total22,ytd22,ytd23,last12mos,type,geometry,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
Citywide,285527,NA,Murder,38,37,50,45,23,27,49,Violent,list(),132,44,18.4,28.9,-2,11,13.3,13,17.5,15.8,17.2,15.4
Citywide,285527,NA,Sexual Assault,107,116,122,135,78,87,144,Violent,list(),373,124.3,26.2,34.6,18,16,37.5,40.6,42.7,47.3,50.4,43.5
Citywide,285527,NA,Robbery,611,612,531,574,343,273,504,Violent,list(),1717,572.3,-6.1,-17.5,-5.1,-12,214,214.3,186,201,176.5,200.4
Citywide,285527,NA,Aggravated Assault,1251,1639,1436,1171,656,683,1198,Violent,list(),4246,1415.3,-6.4,-4.2,-16.6,-15,438.1,574,502.9,410.1,419.6,495.7
Citywide,285527,NA,Burglary,1851,1816,1444,1263,644,730,1349,Property,list(),4523,1507.7,-31.8,-27.1,-6.6,-11,648.3,636,505.7,442.3,472.5,528
Citywide,285527,NA,Theft,7838,7688,7357,7049,3727,4094,7416,Property,list(),22094,7364.7,-10.1,-5.4,0.8,1,2745.1,2692.6,2576.6,2468.8,2597.3,2579.3
Citywide,285527,NA,Vehicle Theft,677,878,686,803,380,1035,1458,Property,list(),2367,789,18.6,115.4,112.5,85,237.1,307.5,240.3,281.2,510.6,276.3
